departureState,regidate,airline,flightnum,depairportcode,depairport,arrairportcode,arrairport,plantimes,estimate,arrtime
도착,20231027,아틀라스화물항공,5Y8941,CVG,신시내티,ICN,인천,0:05,1:01,0:42
도착,20231027,비엣젯항공,VJ954,VCA,껀터 국제공항,ICN,인천,0:10,0:09,0:01
도착,20231027,마스에어,M73946,CGO,정저우,ICN,인천,0:20,0:55,0:30
도착,20231027,에어로로직,3S580,LEJ,라이프치히,ICN,인천,0:25,0:14,0:07
도착,20231027,아틀라스화물항공,5Y811,LAX,로스앤젤레스,ICN,인천,0:35,0:46,0:29
도착,20231027,TUA,T5689,ASB,아시가바트,ICN,인천,1:00,7:13,7:04
도착,20231027,아틀라스화물항공,5Y8476,LAX,로스앤젤레스,ICN,인천,1:20,21:20,:
도착,20231027,타이거 에어 타이완,IT600,TPE,타이완 타오위안 국제 공항,ICN,인천,1:30,1:34,1:23
도착,20231027,칼리타화물항공,K49163,RMS,람스테인,ICN,인천,2:40,2:58,2:39
도착,20231027,중국화운항공,CK257,PVG,푸동,ICN,인천,3:05,2:54,2:36
도착,20231027,아틀라스화물항공,5Y9184,RFD,시카고 록퍼드 국제공항,ICN,인천,3:30,3:50,3:31
도착,20231027,폴라에어카고 월드와이드,PO224,CVG,신시내티,ICN,인천,3:35,3:54,3:37
도착,20231027,유피에스화물항공,5X33,SDF,루이즈빌,ICN,인천,3:45,4:01,3:42
도착,20231027,폴라에어카고 월드와이드,PO927,LAX,로스앤젤레스,ICN,인천,3:45,4:16,3:59
도착,20231027,제주항공,7C2306,MNL,마닐라,ICN,인천,4:20,4:57,4:49
도착,20231027,유나이티드항공,UA805,SFO,샌프란시스코,ICN,인천,4:20,4:07,3:55
도착,20231027,아시아나항공,OZ203,LAX,로스앤젤레스,ICN,인천,4:20,3:26,3:12
도착,20231027,에어프레미아,YP132,EWR,뉴어크,ICN,인천,4:25,4:43,4:34
도착,20231027,아시아나항공,OZ211,SFO,샌프란시스코,ICN,인천,4:30,3:48,3:34
도착,20231027,비엣젯항공,VJ836,CXR,깜라인(나트랑),ICN,인천,4:30,5:07,4:59
도착,20231027,베트남항공,VN440,CXR,깜라인(나트랑),ICN,인천,4:30,4:16,4:04
도착,20231027,대한항공,KE720,HND,하네다,ICN,인천,4:35,4:18,4:09
도착,20231027,아시아나항공,OZ322,CSX,창사(장사),ICN,인천,4:40,4:33,4:20
도착,20231027,피치항공,MM809,HND,하네다,ICN,인천,4:40,4:38,4:30
도착,20231027,아시아나항공,OZ704,MNL,마닐라,ICN,인천,4:50,4:49,4:39
도착,20231027,아시아나항공,OZ396,BKK,수안나폼(방콕),ICN,인천,4:50,7:05,6:56
도착,20231027,대한항공,KE012,LAX,로스앤젤레스,ICN,인천,4:50,3:47,3:40
도착,20231027,대한항공,KE624,MNL,마닐라,ICN,인천,5:00,5:14,5:08
도착,20231027,대한항공,KE658,BKK,수안나폼(방콕),ICN,인천,5:05,4:57,4:48
도착,20231027,아시아나항공,OZ746,HKG,홍콩,ICN,인천,5:10,5:16,5:06
도착,20231027,아시아나항공,OZ223,JFK,뉴욕,ICN,인천,5:10,5:54,5:45
도착,20231027,진에어,LJ062,BKI,코타키나발루,ICN,인천,5:10,4:50,4:45
도착,20231027,필리핀항공,PR466,MNL,마닐라,ICN,인천,5:20,5:39,5:29
도착,20231027,대한항공,KE086,JFK,뉴욕,ICN,인천,5:20,5:41,5:32
도착,20231027,대한항공,KE006,LAS,라스베이거스,ICN,인천,5:25,4:18,4:08
도착,20231027,대한항공,KE178,HKG,홍콩,ICN,인천,5:25,5:39,5:34
도착,20231027,대한항공,KE456,HAN,노이바이(하노이),ICN,인천,5:25,5:16,5:11
도착,20231027,제주항공,7C4468,TAG,팡라로,ICN,인천,5:30,5:04,4:54
도착,20231027,대한항공,KE462,DAD,다낭,ICN,인천,5:30,5:03,4:55
도착,20231027,델타항공,DL27,ATL,애틀랜타,ICN,인천,5:30,4:33,4:24
도착,20231027,비엣젯항공,VJ962,HAN,노이바이(하노이),ICN,인천,5:30,5:49,5:38
도착,20231027,에어서울,RS532,KLO,칼리보,ICN,인천,5:40,5:02,4:52
도착,20231027,비엣젯항공,VJ864,SGN,떤 선?(호찌민),ICN,인천,5:45,5:48,5:39
도착,20231027,아시아나항공,OZ734,HAN,노이바이(하노이),ICN,인천,5:50,5:37,5:27
도착,20231027,제주항공,7C4206,CNX,치앙마이,ICN,인천,5:50,6:09,5:58
도착,20231027,베트남항공,VN416,HAN,노이바이(하노이),ICN,인천,5:50,5:22,5:14
도착,20231027,대한항공,KE316,PVG,푸동,ICN,인천,5:55,5:58,5:48
도착,20231027,라오항공,QV923,VTE,비엔티안,ICN,인천,5:55,5:51,5:40
도착,20231027,아시아나항공,OZ756,DAD,다낭,ICN,인천,5:55,5:33,5:23
도착,20231027,이스타항공,ZE512,BKK,수안나폼(방콕),ICN,인천,6:00,6:01,5:53
도착,20231027,대한항공,KE644,SIN,싱가포르,ICN,인천,6:00,6:01,5:52
도착,20231027,비엣젯항공,VJ878,DAD,다낭,ICN,인천,6:00,6:05,5:54
도착,20231027,비엣젯항공,VJ834,CXR,깜라인(나트랑),ICN,인천,6:00,6:01,5:50
도착,20231027,말린도항공,OD820,KUL,쿠알라룸푸르,ICN,인천,6:00,6:07,5:56
도착,20231027,아시아나항공,OZ776,FRA,프랑크푸르트,ICN,인천,6:00,11:29,11:20
도착,20231027,티웨이항공,TW122,SGN,떤 선?(호찌민),ICN,인천,6:05,5:45,5:36
도착,20231027,에어아시아 엑스,D7504,KUL,쿠알라룸푸르,ICN,인천,6:10,5:54,5:44
도착,20231027,에어부산,BX748,BKK,수안나폼(방콕),ICN,인천,6:10,5:59,5:47
도착,20231027,에어프레미아,YP602,BKK,수안나폼(방콕),ICN,인천,6:15,6:15,6:05
도착,20231027,티웨이항공,TW104,DMK,돈므앙(방콕),ICN,인천,6:20,6:30,6:22
도착,20231027,아시아나항공,OZ752,SIN,싱가포르,ICN,인천,6:20,6:50,6:40
도착,20231027,에어부산,BX778,DAD,다낭,ICN,인천,6:20,6:39,6:29
도착,20231027,대한항공,KE424,GUM,괌,ICN,인천,6:25,6:14,6:06
도착,20231027,진에어,LJ016,HKT,푸껫,ICN,인천,6:25,6:21,6:11
도착,20231027,필리핀항공,PR484,CEB,세부,ICN,인천,6:25,6:21,6:11
도착,20231027,제주항공,7C2508,BKI,코타키나발루,ICN,인천,6:25,10:29,10:18
도착,20231027,진에어,LJ024,CRK,클라크 국제공항,ICN,인천,6:30,7:08,7:02
도착,20231027,대한항공,KE616,CEB,세부,ICN,인천,6:30,6:09,6:02
도착,20231027,제주항공,7C4976,CXR,깜라인(나트랑),ICN,인천,6:30,6:43,6:32
도착,20231027,티웨이항공,TW170,BKI,코타키나발루,ICN,인천,6:30,6:24,6:15
도착,20231027,타이항공,TG658,BKK,수안나폼(방콕),ICN,인천,6:35,6:30,6:19
도착,20231027,베트남항공,VN408,SGN,떤 선?(호찌민),ICN,인천,6:40,6:38,6:30
도착,20231027,베트남항공,VN430,DAD,다낭,ICN,인천,6:40,6:56,6:44
도착,20231027,대한항공,KE668,CNX,치앙마이,ICN,인천,6:40,6:06,6:00
도착,20231027,이스타항공,ZE594,DAD,다낭,ICN,인천,6:45,8:02,7:51
도착,20231027,대한항공,KE672,KUL,쿠알라룸푸르,ICN,인천,6:50,7:01,6:51
도착,20231027,진에어,LJ122,MFM,마카오,ICN,인천,6:50,6:51,6:41
도착,20231027,타이항공,TG656,BKK,수안나폼(방콕),ICN,인천,6:55,6:59,6:49
도착,20231027,티웨이항공,TW192,DAD,다낭,ICN,인천,6:55,7:13,7:01
도착,20231027,대한항공,KE498,DEL,델리,ICN,인천,6:55,6:18,6:08
도착,20231027,제주항공,7C2406,CEB,세부,ICN,인천,6:55,7:57,7:46
도착,20231027,제주항공,7C3105,GUM,괌,ICN,인천,6:55,6:54,6:45
도착,20231027,대한항공,KE652,BKK,수안나폼(방콕),ICN,인천,6:55,7:22,7:14
도착,20231027,티웨이항공,TW308,SPN,사이판,ICN,인천,7:00,6:45,6:35
도착,20231027,프랑스항공,AF264,CDG,파리,ICN,인천,7:05,7:13,7:03
도착,20231027,대한항공,KE628,CGK,자카르타(수카르노 하타) 국제 공항,ICN,인천,7:05,6:47,6:42
도착,20231027,필리핀항공,PR492,CRK,클라크 국제공항,ICN,인천,7:05,7:04,6:54
도착,20231027,아시아나항공,OZ283,SFO,샌프란시스코,ICN,인천,7:05,12:50,12:40
도착,20231027,아시아나항공,OZ988,PVG,푸동,ICN,인천,7:05,8:56,8:38
도착,20231027,아시아나항공,OZ708,CRK,클라크 국제공항,ICN,인천,7:05,7:15,7:07
도착,20231027,티웨이항공,TW158,CXR,깜라인(나트랑),ICN,인천,7:10,6:56,6:46
도착,20231027,아시아나항공,OZ762,CGK,자카르타(수카르노 하타) 국제 공항,ICN,인천,7:10,6:49,6:38
도착,20231027,세부퍼시픽항공,5J186,MNL,마닐라,ICN,인천,7:10,6:56,6:47
도착,20231027,말레이시아항공,MH066,KUL,쿠알라룸푸르,ICN,인천,7:10,7:01,6:49
도착,20231027,아시아나항공,OZ740,PNH,프놈펜,ICN,인천,7:15,7:20,7:06
도착,20231027,제주항공,7C4304,VTE,비엔티안,ICN,인천,7:20,7:29,7:17
도착,20231027,에어서울,RS512,DAD,다낭,ICN,인천,7:20,9:46,9:35
도착,20231027,대한항공,KE476,SGN,떤 선?(호찌민),ICN,인천,7:20,7:49,7:41
도착,20231027,아메리젯인터내셔널,M61010,GSP,그린빌 스파르탄버그,ICN,인천,7:20,9:55,9:24
도착,20231027,진에어,LJ026,CEB,세부,ICN,인천,7:25,7:23,7:18
도착,20231027,에어서울,RS528,CXR,깜라인(나트랑),ICN,인천,7:25,7:22,7:11
도착,20231027,제주항공,7C2804,HAN,노이바이(하노이),ICN,인천,7:25,8:42,8:31
도착,20231027,대한항공,KE992,TAS,타슈켄트,ICN,인천,7:30,7:30,7:19
도착,20231027,대한항공,KE634,DPS,덴파사(응우라 라이),ICN,인천,7:30,7:36,7:25
도착,20231027,제주항공,7C4604,CRK,클라크 국제공항,ICN,인천,7:35,6:46,6:36
도착,20231027,아시아나항공,OZ578,ALA,알마티,ICN,인천,7:40,7:49,7:40
도착,20231027,아시아나항공,OZ710,CEB,세부,ICN,인천,7:45,8:13,8:01
도착,20231027,에어홍콩화물항공,LD128,HKG,홍콩,ICN,인천,7:45,7:56,7:48
도착,20231027,티웨이항공,TW622,SYX,산야,ICN,인천,7:45,7:44,7:36
도착,20231027,싱가폴항공,SQ608,SIN,싱가포르,ICN,인천,7:45,7:37,7:26
도착,20231027,진에어,LJ054,CXR,깜라인(나트랑),ICN,인천,7:45,7:51,7:44
도착,20231027,대한항공,KE214,LAX,로스앤젤레스,ICN,인천,7:45,7:21,7:10
